[Thu Apr 11 13:52:08.359039 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Thu Apr 11 13:52:08.372842 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Thu Apr 11 13:52:08.375529 2019] [mpm_prefork:notice] [pid 8] AH00163: Apache/2.4.38 (Unix) PHP/5.6.40 LibreSSL/2.6.5 configured -- resuming normal operations
[Thu Apr 11 13:52:08.375561 2019] [core:notice] [pid 8] AH00094: Command line: '/usr/sbin/httpd -f /etc/apache2/httpd.conf -D FOREGROUND'
[Thu Apr 11 13:54:24.985166 2019] [mpm_prefork:notice] [pid 8] AH00169: caught SIGTERM, shutting down
[Thu Apr 11 13:55:47.273890 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Thu Apr 11 13:55:47.376529 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Thu Apr 11 13:55:47.379765 2019] [mpm_prefork:notice] [pid 8] AH00163: Apache/2.4.38 (Unix) PHP/5.6.40 LibreSSL/2.6.5 configured -- resuming normal operations
[Thu Apr 11 13:55:47.380022 2019] [core:notice] [pid 8] AH00094: Command line: '/usr/sbin/httpd -f /etc/apache2/httpd.conf -D FOREGROUND'
[Fri Apr 12 11:34:58.899296 2019] [mpm_prefork:notice] [pid 8] AH00169: caught SIGTERM, shutting down
[Mon Apr 29 09:06:38.691057 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:06:38.763774 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:06:38.765772 2019] [mpm_prefork:notice] [pid 8] AH00163: Apache/2.4.38 (Unix) PHP/5.6.40 LibreSSL/2.6.5 configured -- resuming normal operations
[Mon Apr 29 09:06:38.765795 2019] [core:notice] [pid 8] AH00094: Command line: '/usr/sbin/httpd -f /etc/apache2/httpd.conf -D FOREGROUND'
[Mon Apr 29 09:10:46.564430 2019] [mpm_prefork:notice] [pid 8] AH00169: caught SIGTERM, shutting down
[Mon Apr 29 09:12:13.446019 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:12:13.458334 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:12:13.460043 2019] [mpm_prefork:notice] [pid 8] AH00163: Apache/2.4.38 (Unix) PHP/5.6.40 LibreSSL/2.6.5 configured -- resuming normal operations
[Mon Apr 29 09:12:13.460081 2019] [core:notice] [pid 8] AH00094: Command line: '/usr/sbin/httpd -f /etc/apache2/httpd.conf -D FOREGROUND'
[Mon Apr 29 09:31:18.811756 2019] [mpm_prefork:notice] [pid 8] AH00169: caught SIGTERM, shutting down
[Mon Apr 29 09:37:38.364190 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:37:38.378069 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:37:38.380604 2019] [mpm_prefork:notice] [pid 8] AH00163: Apache/2.4.38 (Unix) PHP/5.6.40 LibreSSL/2.6.5 configured -- resuming normal operations
[Mon Apr 29 09:37:38.380634 2019] [core:notice] [pid 8] AH00094: Command line: '/usr/sbin/httpd -f /etc/apache2/httpd.conf -D FOREGROUND'
[Mon Apr 29 09:37:54.413872 2019] [mpm_prefork:notice] [pid 8] AH00169: caught SIGTERM, shutting down
[Mon Apr 29 09:38:05.090593 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:38:05.103491 2019] [ssl:warn] [pid 8] AH01909: pkp.ojs.localhost:443:0 server certificate does NOT include an ID which matches the server name
[Mon Apr 29 09:38:05.105467 2019] [mpm_prefork:notice] [pid 8] AH00163: Apache/2.4.38 (Unix) PHP/5.6.40 LibreSSL/2.6.5 configured -- resuming normal operations
[Mon Apr 29 09:38:05.105501 2019] [core:notice] [pid 8] AH00094: Command line: '/usr/sbin/httpd -f /etc/apache2/httpd.conf -D FOREGROUND'
[Mon Apr 29 09:53:33.945274 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:39.972222 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:40.973580 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:41.974924 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:42.976151 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:43.977400 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:44.978620 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:45.979884 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:46.981209 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:47.982554 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:48.984997 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:49.986257 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:50.987539 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:51.988865 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:52.990221 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:53.991547 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:54.992867 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:55.994152 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:56.995395 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:57.996629 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:58.997848 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:53:59.999184 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:01.000434 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:02.001684 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:03.003002 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:04.004358 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:05.005600 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:06.006876 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:07.008126 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:08.009334 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:09.010538 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:10.011760 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:11.013024 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:12.015226 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:13.016510 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:14.017766 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:15.018991 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
[Mon Apr 29 09:54:16.020257 2019] [core:warn] [pid 8] (99)Address not available: AH00056: connect to listener on [::]:80
